Player,Last,First,rev.,college,DOB,link,position,draft_round,draft_overall,draft_year,year_last,career_yds,active
Warrick Dunn,Dunn,Warrick,"Dunn, Warrick",Florida State,1/5/75,http://www.footballdb.com/players/warrick-dunn-dunnwa01,RB,1,12,1997,2008,10967,
Robert Edwards,Edwards,Robert,"Edwards, Robert",Georgia,10/2/74,http://www.footballdb.com/players/robert-edwards-edwarro01,RB,1,18,1998,2002,1222,
Willie Ellison,Ellison,Willie,"Ellison, Willie",Texas Southern,11/1/45,http://www.footballdb.com/players/willie-ellison-elliswi01,RB,2,33,1967,1974,3426,
Justin Fargas,Fargas,Justin,"Fargas, Justin",Southern California,1/25/80,http://www.footballdb.com/players/justin-fargas-fargaju01,RB,3,96,2006,2009,3369,
Marshall Faulk,Faulk,Marshall,"Faulk, Marshall",San Diego State,2/26/73,http://www.footballdb.com/players/marshall-faulk-faulkma01,RB,1,2,1994,2005,12279,
Beattie Feathers,Feathers,Beattie,"Feathers, Beattie",Tennessee,8/4/08,http://www.footballdb.com/players/beattie-feathers-feathbe01,RB,,,1934,1940,1980,
Chuck Foreman,Foreman,Chuck,"Foreman, Chuck",Miami,10/26/50,http://www.footballdb.com/players/chuck-foreman-foremch01,RB,1,12,1973,1980,5950,
Justin Forsett,Forsett,Justin,"Forsett, Justin",California,10/14/85,http://www.footballdb.com/players/justin-forsett-forseju01,RB,7,233,2008,2015,3001,x
Matt Forte,Forte,Matt,"Forte, Matt",Tulane,12/10/85,http://www.footballdb.com/players/matt-forte-fortema01,RB,2,44,2008,2015,7845,x
Arian Foster,Foster,Arian,"Foster, Arian",Tennessee,8/24/86,http://www.footballdb.com/players/arian-foster-fostear01,RB,,,2009,2015,6309,x
Barry Foster,Foster,Barry,"Foster, Barry",Arkansas,12/8/68,http://www.footballdb.com/players/barry-foster-fosteba01,RB,5,128,1990,1994,3943,
Charlie Garner,Garner,Charlie,"Garner, Charlie",Tennessee,2/13/72,http://www.footballdb.com/players/charlie-garner-garnech01,RB,2,42,1994,2004,7097,
Mike Garrett,Garrett,Mike,"Garrett, Mike",Southern California,4/12/44,http://www.footballdb.com/players/mike-garrett-garremi02,RB,20,178,1966,1973,5481,
Cleveland Gary,Gary,Cleveland,"Gary, Cleveland",Miami,5/4/66,http://www.footballdb.com/players/cleveland-gary-garycl01,RB,1,26,1989,1994,2645,
Olandis Gary,Gary,Olandis,"Gary, Olandis",Georgia,5/18/75,http://www.footballdb.com/players/olandis-gary-garyol01,RB,4,127,1999,2003,1998,
Eddie George,George,Eddie,"George, Eddie",Ohio State,9/24/73,http://www.footballdb.com/players/eddie-george-georged01,RB,1,14,1996,2004,10441,
Cookie Gilchrist,Gilchrist,Cookie,"Gilchrist, Cookie",--,5/25/35,http://www.footballdb.com/players/cookie-gilchrist-gilchco01,RB,,,1962,1967,4293,
Frank Gore,Gore,Frank,"Gore, Frank",Miami,5/14/83,http://www.footballdb.com/players/frank-gore-gorefr01,RB,3,65,2005,2015,11104,x
Hoyle Granger,Granger,Hoyle,"Granger, Hoyle",Mississippi State,3/7/44,http://www.footballdb.com/players/hoyle-granger-grangho01,RB,5,37,1966,1972,3653,
Ryan Grant,Grant,Ryan,"Grant, Ryan",Notre Dame,12/9/82,http://www.footballdb.com/players/ryan-grant-grantry01,RB,,,2005,2012,4148,
Ahman Green,Green,Ahman,"Green, Ahman",Nebraska,2/16/77,http://www.footballdb.com/players/ahman-green-greenah01,RB,3,76,1998,2009,9205,
Gaston Green,Green,Gaston,"Green, Gaston",UCLA,8/1/66,http://www.footballdb.com/players/gaston-green-greenga01,RB,1,14,1988,1996,2136,
Harold Green,Green,Harold,"Green, Harold",South Carolina,1/29/68,http://www.footballdb.com/players/harold-green-greenha01,RB,2,38,1990,1998,4365,
Shonn Greene,Greene,Shonn,"Greene, Shonn",Iowa,8/21/85,http://www.footballdb.com/players/shonn-greene-greensh01,RB,3,65,2009,2015,4110,x
BenJarvus Green-Ellis,Green-Ellis,BenJarvus,"Green-Ellis, BenJarvus",Mississippi,7/2/85,http://www.footballdb.com/players/benjarvus-greenellis-greenbe02,RB,,,2008,2015,3914,x
Dave Hampton,Hampton,Dave,"Hampton, Dave",Wyoming,5/7/47,http://www.footballdb.com/players/dave-hampton-hamptda02,RB,9,220,1969,1976,4536,
Rodney Hampton,Hampton,Rodney,"Hampton, Rodney",Georgia,4/3/69,http://www.footballdb.com/players/rodney-hampton-hamptro01,RB,1,24,1990,1997,6897,
Franco Harris,Harris,Franco,"Harris, Franco",Penn State,3/7/50,http://www.footballdb.com/players/franco-harris-harrifr02,RB,1,13,1972,1984,12120,
Raymont Harris,Harris,Raymont,"Harris, Raymont",Ohio State,12/23/70,http://www.footballdb.com/players/raymont-harris-harrira01,RB,4,114,1994,2000,2509,
Abner Haynes,Haynes,Abner,"Haynes, Abner",North Texas,9/19/37,http://www.footballdb.com/players/abner-haynes-hayneab01,RB,5,55,1960,1967,4630,
Garrison Hearst,Hearst,Garrison,"Hearst, Garrison",Georgia,1/4/71,http://www.footballdb.com/players/garrison-hearst-hearsga01,RB,1,3,1993,2004,7966,
Travis Henry,Henry,Travis,"Henry, Travis",Tennessee,10/29/78,http://www.footballdb.com/players/travis-henry-henrytr01,RB,2,58,2001,2007,6086,
John Henry Johnson,Henry Johnson,John,"Johnson, John Henry",Arizona State,11/24/29,http://www.footballdb.com/players/john-henry-johnson-johnsjo07,RB,2,18,1953,1966,6803,
Craig Heyward,Heyward,Craig,"Heyward, Craig",Pittsburgh,9/26/66,http://www.footballdb.com/players/craig-heyward-heywacr01,RB,1,24,1988,1998,4301,
Calvin Hill,Hill,Calvin,"Hill, Calvin",Yale,1/2/47,http://www.footballdb.com/players/calvin-hill-hillca01,RB,1,24,1969,1981,6083,
Jeremy Hill,Hill,Jeremy,"Hill, Jeremy",Louisiana State,10/20/92,http://www.footballdb.com/players/jeremy-hill-hillje06,RB,2,55,2014,2015,1187,x
Dalton Hilliard,Hilliard,Dalton,"Hilliard, Dalton",Louisiana State,1/21/64,http://www.footballdb.com/players/dalton-hilliard-hillida01,RB,2,31,1986,1993,4164,
Peyton Hillis,Hillis,Peyton,"Hillis, Peyton",Arkansas,1/21/86,http://www.footballdb.com/players/peyton-hillis-hillipe01,RB,7,227,2008,2015,2832,x
Priest Holmes,Holmes,Priest,"Holmes, Priest",Texas,10/7/73,http://www.footballdb.com/players/priest-holmes-holmepr01,RB,,,1997,2007,8172,
Marv Hubbard,Hubbard,Marv,"Hubbard, Marv",Colgate,5/7/46,http://www.footballdb.com/players/marv-hubbard-hubbama01,RB,11,277,1968,1977,4544,
Bobby Humphrey,Humphrey,Bobby,"Humphrey, Bobby",Alabama,10/11/66,http://www.footballdb.com/players/bobby-humphrey-humphbo01,RB,Supplemental 1,,1989,1992,2857,
Earnest Jackson,Jackson,Earnest,"Jackson, Earnest",Texas A&M,12/18/59,http://www.footballdb.com/players/earnest-jackson-jacksea01,RB,8,202,1983,1988,4167,
Fred Jackson,Jackson,Fred,"Jackson, Fred",Coe College,2/20/81,http://www.footballdb.com/players/fred-jackson-jacksfr03,RB,,,2003,2015,5659,x
Steven Jackson,Jackson,Steven,"Jackson, Steven",Oregon State,7/22/83,http://www.footballdb.com/players/steven-jackson-jacksst03,RB,1,24,2004,2015,11388,x
Brandon Jacobs,Jacobs,Brandon,"Jacobs, Brandon",Southern Illinois,7/6/82,http://www.footballdb.com/players/brandon-jacobs-jacobbr01,RB,4,110,2005,2015,5094,x
Craig James,James,Craig,"James, Craig",Southern Methodist,1/2/61,http://www.footballdb.com/players/craig-james-jamescr01,RB,7,187,1983,1988,2469,
Edgerrin James,James,Edgerrin,"James, Edgerrin",Miami,8/1/78,http://www.footballdb.com/players/edgerrin-james-jamesed01,RB,1,4,1999,2009,12246,
Anthony Johnson,Johnson,Anthony,"Johnson, Anthony",Notre Dame,10/25/67,http://www.footballdb.com/players/anthony-johnson-johnsan01,RB,2,36,1990,2000,2966,
Chris Johnson,Johnson,Chris,"Johnson, Chris",East Carolina,9/23/85,http://www.footballdb.com/players/chris-johnson-johnsch19,RB,1,24,2008,2015,8665,x
Larry Johnson,Johnson,Larry,"Johnson, Larry",Penn State,11/19/79,http://www.footballdb.com/players/larry-johnson-johnsla03,RB,1,27,2003,2011,6223,
Pete Johnson,Johnson,Pete,"Johnson, Pete",Ohio State,3/2/54,http://www.footballdb.com/players/pete-johnson-johnspe02,RB,2,49,1977,1984,5626,
Ron Johnson,Johnson,Ron,"Johnson, Ron",Michigan,10/17/47,http://www.footballdb.com/players/ron-johnson-johnsro07,RB,1,20,1969,1975,4308,
Rudi Johnson,Johnson,Rudi,"Johnson, Rudi",Auburn,10/1/79,http://www.footballdb.com/players/rudi-johnson-johnsru01,RB,4,100,2001,2008,5979,
Julius Jones,Jones,Julius,"Jones, Julius",Notre Dame,8/14/81,http://www.footballdb.com/players/julius-jones-jonesju03,RB,2,43,2004,2010,5068,
Kevin Jones,Jones,Kevin,"Jones, Kevin",Virginia Tech,8/21/82,http://www.footballdb.com/players/kevin-jones-joneske05,RB,1,30,2004,2008,3176,
Thomas Jones,Jones,Thomas,"Jones, Thomas",Virginia,8/19/78,http://www.footballdb.com/players/thomas-jones-jonesth01,RB,1,7,2000,2011,10591,
Maurice Jones-Drew,Jones-Drew,Maurice,"Jones-Drew, Maurice",UCLA,3/23/85,http://www.footballdb.com/players/maurice-jonesdrew-drewma01,RB,2,60,2006,2015,8167,x
LaMont Jordan,Jordan,LaMont,"Jordan, LaMont",Maryland,11/11/78,http://www.footballdb.com/players/lamont-jordan-jordala01,RB,2,49,2001,2009,3734,
Napoleon Kaufman,Kaufman,Napoleon,"Kaufman, Napoleon",Washington,6/7/73,http://www.footballdb.com/players/napoleon-kaufman-kaufmna01,RB,1,18,1995,2000,4792,
Leroy Kelly,Kelly,Leroy,"Kelly, Leroy",Morgan State,5/20/42,http://www.footballdb.com/players/leroy-kelly-kellyle02,RB,8,110,1964,1973,7274,
Eddie Lacy,Lacy,Eddie,"Lacy, Eddie",Alabama,6/2/90,http://www.footballdb.com/players/eddie-lacy-lacyed01,RB,2,61,2013,2015,2402,x
Dorsey Levens,Levens,Dorsey,"Levens, Dorsey",Georgia Tech,5/21/70,http://www.footballdb.com/players/dorsey-levens-levendo01,RB,5,149,1994,2004,4955,
Jamal Lewis,Lewis,Jamal,"Lewis, Jamal",Tennessee,8/29/79,http://www.footballdb.com/players/jamal-lewis-lewisja01,RB,1,5,2000,2009,10607,
Floyd Little,Little,Floyd,"Little, Floyd",Syracuse,7/4/42,http://www.footballdb.com/players/floyd-little-littlfl01,RB,1,6,1967,1975,6323,
Paul Lowe,Lowe,Paul,"Lowe, Paul",Oregon State,9/27/36,http://www.footballdb.com/players/paul-lowe-lowepa01,RB,,,1960,1969,4995,
Marshawn Lynch,Lynch,Marshawn,"Lynch, Marshawn",California,4/22/86,http://www.footballdb.com/players/marshawn-lynch-lynchma01,RB,1,12,2007,2015,8768,x
Kevin Mack,Mack,Kevin,"Mack, Kevin",Clemson,8/9/62,http://www.footballdb.com/players/kevin-mack-mackke01,RB,1,11,1984,1993,5123,
Curtis Martin,Martin,Curtis,"Martin, Curtis",Pittsburgh,5/1/73,http://www.footballdb.com/players/curtis-martin-marticu01,RB,3,74,1995,2005,14101,
Doug Martin,Martin,Doug,"Martin, Doug",Boise State,1/13/89,http://www.footballdb.com/players/doug-martin-martido03,RB,1,31,2012,2015,2456,x
Ryan Mathews,Mathews,Ryan,"Mathews, Ryan",Fresno State,10/10/87,http://www.footballdb.com/players/ryan-mathews-mathery01,RB,1,12,2010,2015,4065,x
Rueben Mayes,Mayes,Rueben,"Mayes, Rueben",Washington State,6/6/63,http://www.footballdb.com/players/rueben-mayes-mayesru01,RB,3,57,1986,1993,3484,
Deuce McAllister,McAllister,Deuce,"McAllister, Deuce",Mississippi,12/27/78,http://www.footballdb.com/players/deuce-mcallister-mcallde01,RB,1,23,2001,2008,6096,
LeSean McCoy,McCoy,LeSean,"McCoy, LeSean",Pittsburgh,7/12/88,http://www.footballdb.com/players/lesean-mccoy-mccoyle02,RB,2,53,2009,2015,6833,x
Lawrence McCutcheon,McCutcheon,Lawrence,"McCutcheon, Lawrence",Colorado State,6/2/50,http://www.footballdb.com/players/lawrence-mccutcheon-mccutla01,RB,3,70,1972,1981,6578,
Darren McFadden,McFadden,Darren,"McFadden, Darren",Arkansas,8/27/87,http://www.footballdb.com/players/darren-mcfadden-mcfadda01,RB,1,4,2008,2015,4263,x
Willis McGahee,McGahee,Willis,"McGahee, Willis",Miami,10/20/81,http://www.footballdb.com/players/willis-mcgahee-mcgahwi01,RB,1,23,2003,2015,8474,x
Freeman McNeil,McNeil,Freeman,"McNeil, Freeman",UCLA,4/22/59,http://www.footballdb.com/players/freeman-mcneil-mcneifr01,RB,1,3,1981,1992,8074,
Natrone Means,Means,Natrone,"Means, Natrone",North Carolina,4/26/72,http://www.footballdb.com/players/natrone-means-meansna01,RB,2,41,1993,2000,5215,
Rashard Mendenhall,Mendenhall,Rashard,"Mendenhall, Rashard",Illinois,6/19/87,http://www.footballdb.com/players/rashard-mendenhall-mendera01,RB,1,23,2008,2015,4236,x
Terdell Middleton,Middleton,Terdell,"Middleton, Terdell",Memphis,4/8/55,http://www.footballdb.com/players/terdell-middleton-middlte01,RB,3,80,1977,1983,2048,
Lamar Miller,Miller,Lamar,"Miller, Lamar",Miami,4/25/91,http://www.footballdb.com/players/lamar-miller-millela03,RB,4,97,2012,2015,2111,x
Terry Miller,Miller,Terry,"Miller, Terry",Oklahoma State,5/31/05,http://www.footballdb.com/players/terry-miller-millete01,RB,1,5,1978,1981,1583,
Lydell Mitchell,Mitchell,Lydell,"Mitchell, Lydell",Penn State,5/30/49,http://www.footballdb.com/players/lydell-mitchell-mitchly01,RB,2,48,1972,1980,6534,
Stump Mitchell,Mitchell,Stump,"Mitchell, Stump",Citadel,3/15/59,http://www.footballdb.com/players/stump-mitchell-mitchst01,RB,9,226,1981,1989,4649,
Wilbert Montgomery,Montgomery,Wilbert,"Montgomery, Wilbert",Abilene Christian,9/16/54,http://www.footballdb.com/players/wilbert-montgomery-montgwi01,RB,6,154,1977,1985,6789,
Ronald Moore,Moore,Ronald,"Moore, Ronald",Pittsburg State,1/26/70,http://www.footballdb.com/players/ronald-moore-moorero02,RB,4,87,1993,1998,2210,
Knowshon Moreno,Moreno,Knowshon,"Moreno, Knowshon",Georgia,7/16/87,http://www.footballdb.com/players/knowshon-moreno-morenkn01,RB,1,12,2009,2015,3616,x
Alfred Morris,Morris,Alfred,"Morris, Alfred",Florida Atlantic,12/12/88,http://www.footballdb.com/players/alfred-morris-morrial02,RB,6,173,2012,2015,4083,x
Joe Morris,Morris,Joe,"Morris, Joe",Syracuse,9/15/60,http://www.footballdb.com/players/joe-morris-morrijo01,RB,2,45,1982,1991,5585,
Mercury Morris,Morris,Mercury,"Morris, Mercury",West Texas A&M,1/5/47,http://www.footballdb.com/players/mercury-morris-morrieu01,RB,3,63,1969,1976,4133,
Chuck Muncie,Muncie,Chuck,"Muncie, Chuck",California,3/17/53,http://www.footballdb.com/players/chuck-muncie-muncich01,RB,1,3,1976,1984,6702,
DeMarco Murray,Murray,DeMarco,"Murray, DeMarco",Oklahoma,2/12/88,http://www.footballdb.com/players/demarco-murray-murrade01,RB,3,71,2011,2015,4535,x
Adrian Murrell,Murrell,Adrian,"Murrell, Adrian",West Virginia,10/16/70,http://www.footballdb.com/players/adrian-murrell-murread01,RB,5,120,1993,2003,5199,
Jim Nance,Nance,Jim,"Nance, Jim",Syracuse,12/30/42,http://www.footballdb.com/players/jim-nance-nanceji01,RB,4,45,1965,1973,5401,
Christian Okoye,Okoye,Christian,"Okoye, Christian",Azusa Pacific,8/16/61,http://www.footballdb.com/players/christian-okoye-okoyech01,RB,2,35,1987,1992,4897,
Jim Otis,Otis,Jim,"Otis, Jim",Ohio State,4/29/48,http://www.footballdb.com/players/jim-otis-otisji01,RB,9,218,1970,1978,4350,
Steve Owens,Owens,Steve,"Owens, Steve",Oklahoma,12/9/47,http://www.footballdb.com/players/steve-owens-owensst01,RB,1,19,1970,1974,2451,
Willie Parker,Parker,Willie,"Parker, Willie",North Carolina,11/11/80,http://www.footballdb.com/players/willie-parker-parkewi02,RB,,,2004,2009,5378,
Walter Payton,Payton,Walter,"Payton, Walter",Jackson State,7/25/54,http://www.footballdb.com/players/walter-payton-paytowa01,RB,1,4,1975,1987,16726,
Erric Pegram,Pegram,Erric,"Pegram, Erric",North Texas,1/7/69,http://www.footballdb.com/players/erric-pegram-pegraer01,RB,6,145,1991,1997,3398,
Joe Perry,Perry,Joe,"Perry, Joe",Compton CC (CA),1/27/27,http://www.footballdb.com/players/joe-perry-perryjo01,RB,,,1948,1963,8378,
Adrian Peterson,Peterson,Adrian,"Peterson, Adrian",Oklahoma,3/21/85,http://www.footballdb.com/players/adrian-peterson-peterad02,RB,1,7,2009,2015,10221,x
Clinton Portis,Portis,Clinton,"Portis, Clinton",Miami,9/1/81,http://www.footballdb.com/players/clinton-portis-porticl01,RB,2,51,2002,2010,9923,
Greg Pruitt,Pruitt,Greg,"Pruitt, Greg",Oklahoma,8/18/51,http://www.footballdb.com/players/greg-pruitt-pruitgr01,RB,2,30,1973,1984,5672,
Mike Pruitt,Pruitt,Mike,"Pruitt, Mike",Purdue,4/3/54,http://www.footballdb.com/players/mike-pruitt-pruitmi02,RB,1,7,1976,1986,7378,
Tony Reed,Reed,Tony,"Reed, Tony",Colorado,3/30/55,http://www.footballdb.com/players/tony-reed-reedto01,RB,2,37,1977,1981,2340,
Errict Rhett,Rhett,Errict,"Rhett, Errict",Florida,12/11/70,http://www.footballdb.com/players/errict-rhett-rhetter01,RB,2,34,1994,2000,4143,
Dominic Rhodes,Rhodes,Dominic,"Rhodes, Dominic",Midwestern State,1/17/79,http://www.footballdb.com/players/dominic-rhodes-rhodedo01,RB,,,2001,2010,3286,
